current,voltage,temperature,cell_voltage_min,soc,cycle_count,internal_resistance,charge_capacity,discharge_capacity,c_rate,dod,soh,cell_voltage_max,mfg_rated_cycles,calendar_age_days,chemistry_type
-31.12,3.7162,45.0,3.7005,0.5873,274,0.032818,38.37,39.79,0.7545,0.6711,0.9289,3.732,1768,468,0.0
51.96,3.9373,32.8,3.9212,0.7908,279,0.034868,39.23,40.16,1.2283,0.3875,0.9545,3.9534,1768,475,0.0
19.49,3.4726,35.3,3.4632,0.408,284,0.031991,38.87,40.33,0.4566,0.2915,0.9576,3.4819,1768,483,0.0
13.69,4.0343,37.7,4.0068,0.8505,289,0.031024,41.22,38.85,0.3228,0.3132,0.9428,4.0618,1768,491,0.0
6.68,3.9859,35.4,3.9782,0.8414,294,0.031348,41.24,40.82,0.1726,0.1703,0.9563,3.9936,1768,498,0.0
19.85,3.4701,45.0,3.4527,0.4097,299,0.034768,39.06,38.09,0.4889,0.7495,0.9333,3.4875,1768,506,0.0
-10.02,3.4409,34.4,3.4307,0.3802,304,0.030014,39.04,39.09,0.239,0.6259,0.9524,3.451,1768,514,0.0
-21.48,3.5569,44.5,3.5474,0.4513,309,0.033796,38.99,39.98,0.5585,0.6161,0.9311,3.5664,1768,521,0.0
49.89,3.5025,25.9,3.5024,0.4483,314,0.030765,40.35,41.7,1.2124,0.4234,0.9555,3.5027,1768,529,0.0
-14.71,3.7476,33.1,3.7254,0.6221,319,0.03692,39.15,40.18,0.343,0.368,0.9619,3.7699,1768,537,0.0
6.67,3.7088,29.0,3.6954,0.5836,324,0.030275,40.04,39.78,0.1602,0.4115,0.9581,3.7222,1768,544,0.0
38.64,3.5676,35.8,3.5428,0.4809,328,0.032255,38.67,40.25,0.9484,0.7456,0.9437,3.5925,1768,550,0.0
-10.71,3.5422,39.2,3.5319,0.4634,333,0.031994,38.45,38.34,0.2444,0.8327,0.9352,3.5524,1768,558,0.0
10.13,3.7381,38.8,3.7266,0.6262,338,0.029805,39.54,37.93,0.2385,0.8121,0.9376,3.7497,1768,566,0.0
23.07,4.0355,35.1,4.0245,0.8721,343,0.032553,39.01,39.35,0.5261,0.3098,0.9405,4.0465,1768,573,0.0
-7.56,3.9866,32.6,3.9854,0.8168,348,0.032603,39.49,40.64,0.1854,0.4204,0.9497,3.9877,1768,581,0.0
-7.14,3.2976,40.7,3.2944,0.2577,353,0.032665,39.28,38.1,0.1582,0.2682,0.9283,3.3009,1768,589,0.0
33.37,3.4177,33.3,3.4006,0.3623,358,0.031287,39.67,39.65,0.7848,0.5392,0.9359,3.4347,1768,596,0.0
-33.38,3.9852,39.0,3.9749,0.8174,363,0.030396,37.89,38.13,0.7902,0.5605,0.921,3.9954,1768,604,0.0
-22.85,3.9189,45.0,3.8966,0.7907,368,0.031707,39.01,39.32,0.4886,0.5598,0.9204,3.9411,1768,612,0.0
-23.29,3.6477,33.9,3.6452,0.5407,373,0.034385,40.35,39.74,0.5955,0.5282,0.9452,3.6502,1768,619,0.0
17.25,3.7945,36.3,3.7941,0.6371,378,0.029225,39.08,38.49,0.4135,0.7719,0.9356,3.795,1768,627,0.0
-12.29,3.5065,28.3,3.4848,0.4231,382,0.031593,40.81,39.7,0.2996,0.4796,0.9372,3.5283,1768,633,0.0
8.69,3.8002,32.8,3.7829,0.661,387,0.03284,41.05,41.6,0.2029,0.1015,0.9508,3.8175,1768,641,0.0
28.17,3.8672,28.0,3.8493,0.7204,392,0.028748,39.48,39.66,0.6646,0.4014,0.9455,3.8852,1768,649,0.0
-23.79,3.5811,20.9,3.5796,0.483,397,0.033499,42.14,38.66,0.5442,0.4182,0.9573,3.5825,1768,656,0.0
-29.37,3.968,35.6,3.9186,0.804,402,0.031788,39.16,38.47,0.6955,0.0861,0.9335,4.0174,1768,664,0.0
-23.51,4.0004,26.8,3.9893,0.8245,407,0.031134,39.08,41.26,0.5258,0.6115,0.9535,4.0115,1768,672,0.0
23.77,3.6853,37.1,3.682,0.5843,412,0.034746,38.28,39.47,0.5949,0.5779,0.9287,3.6886,1768,679,0.0
12.16,3.4406,20.7,3.4405,0.3392,417,0.030931,40.72,40.69,0.2977,0.6752,0.96,3.4407,1768,687,0.0
-23.57,3.8554,37.5,3.8512,0.7068,422,0.032412,39.38,38.77,0.5907,0.3933,0.9238,3.8595,1768,695,0.0
29.56,3.7976,16.1,3.794,0.7039,427,0.034023,40.29,40.61,0.7602,0.403,0.9524,3.8013,1768,702,0.0
17.3,3.7969,43.4,3.7896,0.6687,432,0.031572,38.96,38.55,0.4188,0.3582,0.9122,3.8042,1768,710,0.0
-12.49,3.9678,41.4,3.9471,0.8171,436,0.032644,39.13,38.8,0.3054,0.2874,0.9178,3.9885,1768,716,0.0
-10.29,3.7711,27.8,3.7701,0.6468,441,0.033751,39.49,40.49,0.2489,0.5403,0.9543,3.7721,1768,724,0.0
-12.01,4.0372,36.5,4.0177,0.8791,446,0.031869,38.77,38.12,0.2598,0.4413,0.9173,4.0567,1768,731,0.0
41.03,3.8794,39.2,3.8653,0.7313,451,0.034109,38.61,37.82,1.0077,0.2234,0.9071,3.8935,1768,739,0.0
6.85,3.6231,23.6,3.6017,0.543,456,0.029273,41.01,38.52,0.1501,0.431,0.9507,3.6445,1768,747,0.0
5.62,3.6017,33.1,3.5844,0.5177,461,0.030225,39.54,37.38,0.1319,0.3972,0.9424,3.6191,1768,754,0.0
-18.98,3.751,26.4,3.7445,0.6132,466,0.032548,39.71,40.73,0.4695,0.4051,0.9455,3.7576,1768,762,0.0
-11.82,3.9255,38.0,3.9238,0.7495,471,0.035564,38.98,38.64,0.2927,0.2735,0.9218,3.9273,1768,770,0.0
-9.99,3.9848,45.0,3.9818,0.823,476,0.033018,37.57,38.5,0.2477,0.6441,0.905,3.9878,1768,777,0.0
-16.5,3.6493,35.2,3.6366,0.5548,481,0.036232,38.1,39.29,0.3821,0.5791,0.9248,3.662,1768,785,0.0
-4.49,3.592,32.1,3.5913,0.4937,486,0.029613,39.03,38.24,0.106,0.4146,0.9303,3.5927,1768,793,0.0
-5.04,3.4153,40.9,3.4051,0.334,0,0.031154,41.06,40.85,0.1262,0.8182,0.9917,3.4255,1682,91,0.0
25.6,3.8708,32.1,3.8526,0.7059,13,0.028979,40.54,39.78,0.7021,0.3165,0.9955,3.889,1682,111,0.0
-83.83,3.9129,35.0,3.9099,0.7469,26,0.029548,41.07,40.12,1.9656,0.2224,0.9859,3.9159,1682,131,0.0
14.57,3.746,45.0,3.7219,0.6261,40,0.031748,39.83,40.81,0.3775,0.3312,0.9711,3.77,1682,153,0.0
-7.22,3.8968,45.0,3.8573,0.7599,53,0.028578,40.56,39.36,0.1977,0.3851,0.979,3.9363,1682,173,0.0
71.94,3.4254,27.2,3.4199,0.3605,67,0.028908,40.94,40.89,1.8017,0.7446,0.9761,3.4309,1682,195,0.0
11.67,3.8938,29.8,3.8909,0.7317,80,0.029532,40.26,39.76,0.3048,0.3632,0.9749,3.8968,1682,216,0.0
12.01,3.8292,36.6,3.8272,0.6937,94,0.030542,40.35,41.47,0.2924,0.4823,0.9792,3.8312,1682,237,0.0
-26.39,3.9887,36.6,3.9707,0.8155,107,0.031593,40.07,40.6,0.698,0.7685,0.9613,4.0068,1682,258,0.0
9.31,3.5448,21.8,3.539,0.4556,121,0.028921,39.67,39.75,0.2384,0.5199,0.9739,3.5506,1682,280,0.0
20.13,3.6439,29.4,3.6274,0.5416,134,0.030104,41.24,39.27,0.488,0.4523,0.9661,3.6604,1682,300,0.0
7.99,3.8271,25.3,3.8178,0.6745,147,0.029986,38.7,38.67,0.183,0.5146,0.9691,3.8363,1682,320,0.0
-22.26,4.0898,26.7,4.0877,0.9007,161,0.031121,39.99,41.1,0.5243,0.0911,0.9743,4.0918,1682,342,0.0
-20.06,3.5482,25.8,3.5327,0.4607,174,0.033137,39.64,38.59,0.4577,0.3822,0.9643,3.5638,1682,363,0.0
-24.14,3.5857,41.1,3.5612,0.4934,188,0.031103,38.79,39.58,0.5652,0.4639,0.9352,3.6103,1682,384,0.0
28.23,3.2463,26.5,3.2461,0.2174,201,0.027705,39.82,39.23,0.6986,0.6718,0.9614,3.2464,1682,405,0.0
-17.94,3.8191,43.7,3.7803,0.6685,215,0.031946,39.39,38.66,0.4083,0.2931,0.9379,3.8579,1682,427,0.0
-25.74,3.8752,22.7,3.8587,0.7397,228,0.03262,39.45,41.25,0.6158,0.2439,0.9573,3.8917,1682,447,0.0
-21.36,3.5796,37.5,3.573,0.5116,242,0.032539,40.08,40.25,0.5271,0.7755,0.9398,3.5861,1682,469,0.0
-22.6,3.7357,26.8,3.7328,0.6045,255,0.031868,40.11,40.46,0.5768,0.5004,0.9582,3.7386,1682,489,0.0
8.7,3.8121,30.6,3.8082,0.6557,269,0.031476,38.75,39.55,0.2214,0.5648,0.957,3.816,1682,511,0.0
47.0,3.6141,27.1,3.611,0.5091,282,0.035583,39.55,39.47,1.1532,0.4636,0.9482,3.6171,1682,531,0.0
-21.38,3.7926,25.3,3.7837,0.6505,295,0.030893,39.83,40.66,0.5448,0.4131,0.959,3.8015,1682,552,0.0
-15.85,3.9219,40.3,3.9131,0.7525,309,0.030696,38.36,38.45,0.4441,0.2507,0.9258,3.9306,1682,574,0.0
28.57,3.5925,36.1,3.5911,0.5109,322,0.033405,38.33,40.02,0.7079,0.4017,0.9379,3.5939,1682,594,0.0
-24.01,3.49,33.3,3.4896,0.3968,336,0.027758,39.06,39.22,0.5428,0.6367,0.9427,3.4905,1682,616,0.0
-14.12,3.7418,45.0,3.7387,0.6128,349,0.03287,38.4,37.07,0.3312,0.8086,0.9155,3.7448,1682,636,0.0
-14.26,3.7385,41.4,3.6563,0.635,363,0.034984,39.85,38.58,0.3162,0.3345,0.9233,3.8207,1682,658,0.0
11.98,3.6248,31.4,3.6101,0.5382,376,0.032753,38.45,38.65,0.2817,0.4389,0.938,3.6396,1682,678,0.0
-30.32,3.7276,36.8,3.7159,0.5992,390,0.030318,36.87,39.25,0.6803,0.3649,0.9248,3.7393,1682,700,0.0
-11.52,3.7363,35.4,3.7324,0.6061,403,0.030899,37.38,38.24,0.2856,0.3938,0.9285,3.7401,1682,721,0.0
20.48,3.7365,34.1,3.7293,0.6061,416,0.029817,38.05,37.81,0.506,0.3478,0.9377,3.7437,1682,741,0.0
9.13,3.6898,43.8,3.6823,0.5667,430,0.031608,37.74,38.29,0.2263,0.6545,0.9037,3.6972,1682,763,0.0
67.47,3.5919,39.8,3.5762,0.4901,443,0.035767,36.83,36.66,1.7335,0.608,0.8803,3.6076,1682,783,0.0
9.2,3.5603,26.7,3.5558,0.4708,457,0.030638,38.57,38.91,0.2237,0.6095,0.9373,3.5648,1682,805,0.0
17.93,3.7358,29.8,3.7247,0.632,470,0.030029,39.28,39.13,0.3969,0.3053,0.9338,3.7468,1682,825,0.0
-24.64,3.7949,24.4,3.7941,0.6727,484,0.032203,38.58,39.22,0.5465,0.3273,0.9437,3.7957,1682,847,0.0
-74.62,3.8327,31.5,3.8186,0.7052,497,0.031281,38.54,38.21,1.8526,0.2776,0.913,3.8469,1682,868,0.0
26.74,3.8257,20.0,3.8226,0.6885,511,0.031458,40.54,38.86,0.6593,0.4821,0.9451,3.8287,1682,889,0.0
-22.89,3.8159,36.7,3.796,0.6855,524,0.032368,37.64,37.76,0.5769,0.3608,0.9155,3.8358,1682,910,0.0
10.04,3.675,43.9,3.6635,0.5898,538,0.034617,35.85,36.62,0.2505,0.65,0.8868,3.6865,1682,932,0.0
13.07,3.9775,32.1,3.9659,0.8177,551,0.036901,36.99,37.19,0.3266,0.7432,0.9328,3.989,1682,952,0.0
-46.84,3.9659,37.4,3.9566,0.8009,564,0.033902,36.41,37.76,1.1419,0.2094,0.8818,3.9753,1682,972,0.0
21.97,3.7999,43.6,3.7948,0.6697,578,0.035775,36.5,36.05,0.5181,0.8376,0.877,3.805,1682,994,0.0
52.39,3.774,18.9,3.7703,0.6486,591,0.034692,38.98,39.0,1.5216,0.4242,0.9407,3.7777,1682,1015,0.0
-7.31,3.4554,44.8,3.4441,0.3797,605,0.040431,35.1,35.29,0.1785,0.6186,0.8792,3.4668,1682,1036,0.0
-8.84,3.6491,22.4,3.6369,0.5502,618,0.030758,40.0,38.89,0.2169,0.6016,0.9423,3.6612,1682,1057,0.0
15.72,3.6699,42.9,3.6644,0.5752,632,0.033476,35.03,35.35,0.3833,0.3807,0.8735,3.6755,1682,1079,0.0
14.4,3.3602,34.1,3.3595,0.3029,645,0.031589,37.45,37.57,0.3542,0.3169,0.9145,3.361,1682,1099,0.0
28.43,3.849,20.1,3.8151,0.6841,659,0.031131,39.05,39.38,0.633,0.4546,0.9348,3.8829,1682,1121,0.0
-22.46,3.9795,21.9,3.9657,0.8408,672,0.031466,38.69,37.64,0.5156,0.6396,0.9383,3.9934,1682,1141,0.0
-24.33,3.8927,36.2,3.8905,0.7362,685,0.033344,35.78,37.45,0.5902,0.3845,0.8975,3.895,1682,1161,0.0
18.91,3.7135,22.9,3.6881,0.5876,699,0.028769,38.38,36.65,0.4434,0.5222,0.927,3.7389,1682,1183,0.0
12.45,3.9314,30.5,3.9264,0.7621,712,0.03673,37.97,38.45,0.2856,0.3527,0.9131,3.9364,1682,1204,0.0
-5.74,3.7323,31.0,3.7181,0.625,726,0.031229,39.01,37.86,0.1356,0.5739,0.9131,3.7464,1682,1226,0.0
11.66,3.6818,31.2,3.6608,0.5745,739,0.03492,38.9,37.24,0.2738,0.48,0.9154,3.7027,1682,1246,0.0
-22.84,3.9618,33.5,3.9425,0.7765,753,0.036496,37.92,38.09,0.5112,0.2679,0.9034,3.9811,1682,1268,0.0
-12.34,3.6253,30.0,3.5985,0.5112,766,0.031667,38.42,37.98,0.3158,0.691,0.9107,3.6521,1682,1288,0.0
42.75,3.693,31.3,3.689,0.5657,780,0.042154,36.79,37.41,1.0451,0.5242,0.9001,3.697,1682,1310,0.0
-50.47,3.7345,35.4,3.7231,0.592,793,0.03538,36.39,35.8,1.2516,0.3935,0.8627,3.7458,1682,1330,0.0
8.81,3.7524,43.9,3.72,0.6336,807,0.037595,35.04,35.16,0.2145,0.4639,0.8422,3.7848,1682,1352,0.0
-41.5,3.7077,45.0,3.6997,0.5885,820,0.042359,34.36,32.95,1.0626,0.3335,0.7969,3.7157,1682,1373,0.0
83.99,3.9315,27.7,3.9254,0.7826,833,0.03491,36.59,36.4,1.9811,0.6596,0.8867,3.9376,1682,1393,0.0
10.42,3.8388,30.3,3.8202,0.7039,847,0.031941,37.09,38.76,0.2699,0.2926,0.9035,3.8574,1682,1415,0.0
-23.39,3.4748,33.9,3.4683,0.4082,860,0.036617,36.62,36.8,0.5581,0.64,0.8879,3.4812,1682,1435,0.0
-25.86,3.9446,45.0,3.9242,0.7861,874,0.042465,34.26,34.11,0.5897,0.0804,0.819,3.9651,1682,1457,0.0
-17.79,3.5497,26.2,3.5396,0.448,887,0.037015,37.86,36.84,0.445,0.6984,0.9218,3.5599,1682,1477,0.0
-30.3,3.9188,39.8,3.8873,0.7674,901,0.040663,34.23,34.94,0.7559,0.2846,0.8375,3.9502,1682,1499,0.0
21.02,3.5653,33.7,3.5552,0.5041,914,0.035696,35.91,37.07,0.4804,0.7141,0.8845,3.5753,1682,1519,0.0
-20.86,3.922,37.8,3.8914,0.769,928,0.035349,34.69,34.81,0.4915,0.1018,0.8464,3.9526,1682,1541,0.0
-19.07,3.5835,28.2,3.5808,0.4937,941,0.035674,38.47,36.62,0.4869,0.4345,0.9103,3.5862,1682,1562,0.0
-24.49,3.8824,25.9,3.8313,0.7352,954,0.032158,38.73,36.4,0.5859,0.2161,0.9129,3.9335,1682,1582,0.0
4.89,3.8345,40.6,3.8286,0.6997,968,0.040941,33.57,34.02,0.109,0.397,0.831,3.8404,1682,1604,0.0
-7.98,3.3959,43.2,3.3928,0.3203,981,0.040303,32.65,33.45,0.1765,0.95,0.7866,3.399,1682,1624,0.0
-30.03,3.7349,34.9,3.7023,0.5914,995,0.038653,36.37,35.65,0.7425,0.4661,0.8644,3.7674,1682,1646,0.0
-4.55,3.5302,45.0,3.491,0.442,1008,0.041176,33.14,35.14,0.105,0.6245,0.8047,3.5695,1682,1666,0.0
-14.78,3.7608,29.3,3.7586,0.634,1022,0.033542,37.31,37.04,0.3783,0.3376,0.9009,3.7629,1682,1688,0.0
-10.61,3.7067,33.7,3.6976,0.6045,1035,0.035787,35.89,36.22,0.2515,0.3864,0.8868,3.7159,1682,1709,0.0
57.17,3.6162,30.3,3.6097,0.5242,1049,0.037971,35.71,34.94,1.3465,0.5967,0.877,3.6227,1682,1731,0.0
49.06,3.9415,28.0,3.9159,0.7984,1062,0.036835,36.27,37.95,1.17,0.3835,0.8931,3.9672,1682,1751,0.0
-35.84,3.8757,36.9,3.8644,0.7316,1076,0.037217,34.55,33.98,0.7993,0.4373,0.8318,3.8869,1682,1773,0.0
-19.61,3.8111,27.9,3.7881,0.6981,1089,0.032683,38.75,36.43,0.4406,0.4576,0.8974,3.8341,1682,1793,0.0
52.33,3.9566,38.3,3.9435,0.8075,1102,0.045084,31.1,32.45,1.3108,0.1821,0.7839,3.9698,1682,1813,0.0
-7.9,3.7567,34.3,3.7417,0.6238,1116,0.036654,35.6,36.61,0.179,0.2549,0.8706,3.7716,1682,1835,0.0
-4.23,3.6461,35.9,3.6314,0.5077,1129,0.038161,35.62,36.37,0.108,0.835,0.8493,3.6609,1682,1856,0.0
21.54,3.516,12.2,3.4984,0.4166,1143,0.031287,38.84,39.65,0.4814,0.5791,0.9263,3.5335,1682,1878,0.0
16.42,3.6964,37.5,3.6742,0.605,1156,0.039582,34.61,34.14,0.4371,0.6501,0.8248,3.7185,1682,1898,0.0
-6.93,3.365,44.3,3.3544,0.2961,1170,0.044791,32.94,32.62,0.174,0.674,0.7856,3.3755,1682,1920,0.0
-16.75,3.6586,38.2,3.6256,0.5379,1183,0.042304,32.95,34.5,0.4008,0.7381,0.8156,3.6916,1682,1940,0.0
-15.1,3.6108,32.9,3.5961,0.4913,1197,0.034764,36.07,35.92,0.3808,0.5705,0.8764,3.6255,1682,1962,0.0
20.94,3.7645,31.1,3.7516,0.6327,1210,0.034596,34.89,36.6,0.5443,0.2886,0.8772,3.7774,1682,1982,0.0
-46.19,3.9431,36.7,3.9412,0.7985,1223,0.044118,32.73,33.87,1.0567,0.3008,0.8041,3.945,1682,2003,0.0
32.98,3.4869,32.3,3.4809,0.4017,1237,0.038887,35.08,35.71,0.7793,0.4055,0.8593,3.4928,1682,2024,0.0
-18.95,3.9464,40.1,3.9252,0.7941,1250,0.045815,32.4,33.08,0.4495,0.8145,0.7928,3.9676,1682,2045,0.0
28.28,3.5134,34.5,3.5083,0.4358,1264,0.034202,35.34,34.51,0.6614,0.3868,0.8496,3.5185,1682,2067,0.0
-24.72,3.8166,25.1,3.7612,0.6901,1277,0.035611,37.84,37.37,0.5271,0.2044,0.895,3.8721,1682,2087,0.0
-14.62,3.8102,40.7,3.8021,0.6836,1291,0.040787,31.95,32.35,0.3454,0.4106,0.7862,3.8184,1682,2109,0.0
-20.46,3.9647,39.7,3.9433,0.8295,1304,0.044743,32.72,31.4,0.5678,0.1792,0.7878,3.9861,1682,2129,0.0
4.74,4.0744,32.4,4.0309,0.8902,1318,0.039917,35.68,36.55,0.1185,0.3584,0.8487,4.1178,1682,2151,0.0
14.65,3.3837,39.2,3.3811,0.3292,1331,0.039733,32.54,32.91,0.3621,0.7325,0.7906,3.3863,1682,2171,0.0
16.57,3.5779,40.5,3.577,0.458,0,0.028085,60.99,59.71,0.2557,0.5238,0.9956,3.5788,2762,169,0.0
-44.89,3.9077,39.3,3.8903,0.7571,2,0.024886,60.56,61.98,0.7018,0.05,0.9868,3.9251,2762,173,0.0
-27.16,3.8264,38.0,3.8241,0.6922,4,0.032776,62.62,61.13,0.4448,0.5979,0.9824,3.8286,2762,177,0.0
-32.57,3.5789,25.1,3.5655,0.4712,7,0.026081,61.53,60.72,0.517,0.5001,0.9923,3.5923,2762,183,0.0
62.22,3.7939,27.8,3.7842,0.6775,9,0.028446,61.94,62.14,0.9728,0.3601,0.9954,3.8036,2762,187,0.0
